"pk","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Confirmed","Notes"
"3024662497","goody1970cousin","2550127559",">","1462537052","none",NA,NA,"language change","statistical","","yes","'The tables show a strong correlation: .. (4) between preferred cross-cousin marriage and Iroquois terms'"
"3270596854","goody1970cousin","3697873718",">","808506428","",NA,NA,"","","","",""
"285690783","trudgill1974linguistic","1746840506",">>","2367146783","pos",NA,"population dynamics","none","logical","","","The bigger the groups are, the higher the chance of them interacting with each other"
"3832267666","trudgill1974linguistic","2367146783",">","2273399571","pos",NA,"phonetics","language change","model","","","Trudgill considers this process analogous to Newton's gravity model"
"1392706783","trudgill1974linguistic","233622896",">>","2367146783","pos",NA,"population dynamics","none","logical","","",""
"150750455","frederiksen1975representing","1254746570",">","2119178314",NA,NA,"Knowledge Representation ","cultural evolution","model","","yes","the set of concepts or propositions builds the content"
"1958596986","frederiksen1975representing","1254746570",">","3466080512",NA,NA,"Knowledge Representation ","cultural evolution","model","","yes","'empty slots' on removal of propositions forms the network of relations."
"3617927365","frederiksen1975representing","2119178314",">","4143808839",NA,NA,"Knowledge Representation ","cultural evolution","model","","yes",""
"3099374470","frederiksen1975representing","3466080512",">","1681806427",NA,NA,"Knowledge Representation ","cultural evolution","model","","yes",""
"2729841837","frederiksen1975representing","4143808839","~","2154833053",NA,NA,"Knowledge Representation ","cultural evolution","model","","yes",""
"3782188872","frederiksen1975representing","1681806427","~","2746055607",NA,NA,"Knowledge Representation ","cultural evolution","model","","yes",""
"2189729164","frederiksen1975representing","2154833053",">","1620491086",NA,NA,"Knowledge Representation ","","model","","yes",""
"2483479130","frederiksen1975representing","2154833053",">","771277564",NA,NA,"Knowledge Representation ","","model","","yes",""
"1523903541","frederiksen1975representing","2154833053",">","869702752",NA,NA,"Knowledge Representation ","none","model","","yes",""
"3813237820","frederiksen1975representing","869702752",">","2746055607",NA,NA,"Knowledge Representation ","","model","","yes",""
"3187992080","frederiksen1975representing","1620491086",">","2746055607",NA,NA,"Knowledge Representation ","","model","","yes",""
"241476751","frederiksen1975representing","771277564",">","2746055607",NA,NA,"Knowledge Representation ","","model","","yes",""
"3847191616","frederiksen1975representing","2746055607",">","2998648650",NA,NA,"Knowledge Representation ","","model","","yes",""
"3242562654","frederiksen1975representing","2746055607",">","3181081902",NA,NA,"Knowledge Representation ","","model","","yes",""
"1569952331","frederiksen1975representing","2746055607",">","669094784",NA,NA,"Knowledge Representation ","","model","","yes",""
"2576827985","frederiksen1975representing","3181081902",">","2154833053",NA,NA,"Knowledge Representation ","","model","","yes",""
"2501258288","frederiksen1975representing","2998648650",">","2154833053",NA,NA,"Knowledge Representation ","","model","","yes",""
"2862211729","frederiksen1975representing","669094784",">","2154833053",NA,NA,"Knowledge Representation ","","model","","yes",""
"1667599061","frederiksen1975representing","1284811634",">","4254212589",NA,NA,"Knowledge Representation ","","model","","yes","a representation of the form in which information structures are coded in long-term memory. "
"3929158966","frederiksen1975representing","1284811634",">","2244234570",NA,NA,"Knowledge Representation","","model","","yes","Under this interpretation, one could employ the network structures defined here as data structures representing informational inputs such as texts or physical events, or as data structures against which subjects’ responses could be analyzed. "
"3118488985","frederiksen1975representing","1284811634",">","3519479225",NA,NA,"Knowledge Representation","","model","","yes","In this view, propositional structures defined without reference to grammatical rules cannot be regarded as a part of a linguistic description of text since the propositional structures represent only the semantic “deep structure” of “surface” sentences or texts."
"3142423058","frederiksen1975representing","3466080512",">","1284811634",NA,NA,"Knowledge Representation ","","model","","yes",""
"4028129190","frederiksen1975representing","243296854",">","206104777",NA,NA,"Knowledge Representation ","","model","","yes",""
"2250223808","frederiksen1975representing","243296854",">","1743443974",NA,NA,"Knowledge Representation ","","model","","yes",""
"2535029193","frederiksen1975representing","243296854",">","2183095205",NA,NA,"Knowledge Representation ","","model","","yes",""
"3171507546","frederiksen1975representing","243296854",">","3978225426",NA,NA,"Knowledge Representation ","","model","","yes",""
"2865444837","frederiksen1975representing","2183095205",">","1985509960",NA,NA,"Knowledge Representation ","","model","","yes",""
"408768059","frederiksen1975representing","2183095205",">","1465019483",NA,NA,"Knowledge Representation ","","model","","yes",""
"509532610","frederiksen1975representing","2183095205",">","4116016903",NA,NA,"Knowledge Representation ","","model","","yes",""
"3792365815","frederiksen1975representing","206104777",">","4116016903",NA,NA,"Knowledge Representation ","","model","","yes",""
"348438274","frederiksen1975representing","3978225426",">","4116016903",NA,NA,"Knowledge Representation ","","model","","yes",""
"2702750916","frederiksen1975representing","1743443974",">","4116016903",NA,NA,"Knowledge Representation ","","model","","yes",""
"3356377927","frederiksen1975representing","4143808839",">","4116016903",NA,NA,"Knowledge Representation ","","model","","yes",""
"2544554114","frederiksen1975representing","1681806427",">","243296854",NA,NA,"Knowledge Representation ","","model","","yes",""
"1497211049","kalmar1985there","2148751129",">","4036500699","pos",NA,NA,"language change","hypothesis","",NA,"It is quite likely that the number of subordinate clause types grew as narrative developed and accelerated with the advent of writing"
"374055453","kalmar1985there","4036500699",">","4237374571","pos",NA,NA,"language change","hypothesis","",NA,"It is quite likely that the number of subordinate clause types grew as narrative developed and accelerated with the advent of writing"
"3359655473","kalmar1985there","4237374571",">","3141308229","pos",NA,NA,"language change","hypothesis","",NA,"Direct and indirect quotations were rare [in Inuktitut]. However, they are increasing as a result of modernization and the decontextualized nature of writing"
"1849613005","kalmar1985there","4237374571",">","171255469","pos",NA,NA,"language change","hypothesis","",NA,"there is a possibility that the relative clause is developing in written Inuktitut"
"909615392","wheeler1985loss","3765143423",">","2809754639","pos",NA,NA,NA,NA,"",NA,NA
"3045844918","wheeler1985loss","2809754639",">","2413943838","pos",NA,NA,NA,NA,"",NA,NA
"3654500907","wheeler1985loss","2809754639",">>","2856910405","pos",NA,NA,NA,NA,"",NA,NA
"659340569","witkowski1985climate","3765143423",">","377692142","neg",NA,NA,"cultural evolution","logical","",NA,"Tailored clothing covering the limbs and associated gear such as gloves, mittens, socks, shoes, and boots, of course, is more common among peoples of colder regions than among those of warmer zones"
"927234777","witkowski1985climate","377692142",">","1416210243","pos",NA,NA,"cultural evolution","statistical","",NA,"Both sources of evidence [lowerpolysemy rates and shorter orthographic length of terms] suggest that limb parts are more salient away from the equator"
"2957410003","witkowski1985climate","1416210243",">","323108839","neg",NA,NA,"language change","hypothesis","",NA,"Presumably activities involving the manufacture, wear, and care of apparel would greatly increase appropriate cultural occasions for referring to parts, thus increasing the frequency of use and salience of these referents, and likelihood of their acquiring distinct labels"
"680064691","witkowski1985climate","1416210243",">","4143057576","neg",NA,NA,"language change","hypothesis","",NA,"Presumably activities involving the manufacture, wear, and care of apparel would greatly increase appropriate cultural occasions for referring to parts, thus increasing the frequency of use and salience of these referents, and likelihood of their acquiring distinct labels"
"3233429226","witkowski1985climate","1031734161",">","3765143423","neg",NA,NA,"","logical","",NA,""
"3696064691","witkowski1985climate","1031734161","~","323108839","neg",NA,NA,"language change","statistical","",NA,"The tabulations indicate that languages spoken near the equator are more likely to have limb polysemy than those spoken far from it."
"3582161643","witkowski1985climate","1031734161","~","4143057576","neg",NA,NA,"language change","statistical","",NA,"The tabulations indicate that languages spoken near the equator are more likely to have limb polysemy than those spoken far from it."
"3566508876","Marck1986","100272041",">","3216306248","pos",NA,NA,"language change","hypothesis","","yes","""So, it seemed to me that the sailing technology created a certain opportunity within the social system that manifested itself linguistically in approximately the following manner: (1) people within a day's (24-hour) voyage of another island maintained patterns of social interaction with that island's inhabitants that resulted in maintenance of mutual linguistic intelligibility between the two populations; and (2) the role of average or nonsenior navigators (the spontaneity and regularity of their journeys over the millenia) resulted in different kinds of social, economic and linguistic continuity between those islands separated by more than a single night at sea and those separated by less than that distance"""
"3221274554","elman90findingStructure","360106046",">","2870250470","pos",NA,"acquisition","preadaptation","simulation","neural network","yes",NA
"1531893655","Nichols1990","1031734161",">","3719167349","neg",NA,NA,"language change","hypothesis","","no","Other things being equal, density of lineages is substantially greater at low latitudes than at high latitudes."
"2639337206","Nichols1990","2924754009",">","3719167349","pos",NA,NA,"language change","hypothesis","","no","Other things being equal, the coastal area of a continent will generally have substantially greater lineage density than the interior"
"278713596","Nichols1990","2114687372",">","3719167349","pos",NA,NA,"language change","hypothesis","","no","Where coastline is dry, density of lineages can be low even at relatively low latitudes, as in western Australia and western South America. Thus rainfall and/or availability of water in general may be a separate factor, although here it will often be lumped with the coast/interior distinction"
"3159392967","Nichols1990","3999396400",">","3719167349","pos",NA,NA,"language change","hypothesis","","no","Mountains ... The cause of high lineage density in mountain areas is generally attributed to the fact that mountainous geography naturally isolates populations, resists large-scale economic integration, and creates refuge zones."
"1573059327","Nichols1990","293110995",">","3719167349","neg",NA,NA,"language change","hypothesis","","no","SCALE OF ECONOMY. By this term is meant not so much the magnitude of production and/or extraction (although that too is relevant), but the natural territorial scope of the economy: a large-scale economy (e.g. one based on mounted nomadic stockbreeding, urban trade centers, or industrialization) in herently spreads out over a substantial territory ... Density of lineages is low in areas dominated by large-scale economies, higher in areas with smaller-scale economies."
"413338856","Dunbar1992","542539479","<=>","1746840506","pos",NA,NA,"preadaptation","statistical","","yes","Group size is found to be a function of relative neocortical volume"
"3437731644","perkins1992deixis","3002333941",">","870800986","neg",NA,NA,NA,"statistical","",NA,"Based on the results the complexity of deictic systems (including person, inclusive/exclusive, tense, etc) tend to correlate negatively with cultural complexity of the speech community."
"3852034155","burling1993primate","3598811456","/>","2630474422","none",NA,"early human language evolution","coevolution","hypothesis","","","That human language emerged as an elaboration or  evolutionary outgrowth of our own gesture-call system  seems implausible. If it did not emerge from our own  gesture-call system, its emergence from some other ges ture-call system is no more plausible. [And then later elaborated throughout the section "" Alarms, Grunts, Words, and Smiles"".]"
"2228061752","burling1993primate","2168565825","^","2630474422","pos",NA,"early human language evolution","coevolution","review","",""," Among recent work that  has focused on the mind and brain is Calvin's (I983,  I987) suggestion that the adaptations of the nervous sys tem that made accurate throwing possible could have  contributed to language ability"
"3236947331","burling1993primate","4106631776","^","2630474422","pos",NA,"early human language evolution","coevolution","review","",""," Wallace (1989) has proposed that the cognitive maps useful to early-hominid  foragers would have had analogues to language functions and could have played a role in fostering language abilities"
"2645813151","burling1993primate","3016714071","<=>","2630474422","pos",NA,"early human language evolution","coevolution","hypothesis","","","Surely the  human mind has been more profoundly altered from its  mammalian or primate antecedents than has the ges ture-call system, and it seems entirely reasonable to re gard language as the most important new component of  the mind. It is language, more than anything else, that  makes our minds different."
"1785601099","ackley94altruismIn","1634976027","<=>","1005906399","pos",NA,"signalling","coevolution","simulation",NA,"yes",NA
"1114057333","batali94innateBiases","4114447394",">","3992170438","pos",NA,"syntax","coevolution","simulation","neural network","yes",NA
"3046207239","batali94innateBiases","3732170114",">","3992170438","pos",NA,"syntax","coevolution","simulation","neural network","yes",NA
"244744025","batali94innateBiases","3992170438",">","2936169330","pos",NA,"syntax","coevolution","simulation","neural network","yes",NA
"1668739260","hare1995learning","2678208273",">","3842084625","pos",NA,"complexity","language change","simulation","",NA,"The fact that training was not continued to convergence was crucial in the model's performance"
"2917437591","hare1995learning","360233333",">","3842084625","pos",NA,"complexity","language change","simulation","",NA,"A network is taught a data set representative of the verb classes of Old English, but learning is stopped before reaching asymptote, and the output of this network is used as the teacher of a new net"
"3549578582","hare1995learning","267865261",">","3842084625","neg",NA,"complexity","language change","simulation","",NA,"stability in the inflectional system results from the interaction of type frequencies (i.e., class size), exploitable regularities of classes (i.e., phonological consistency), and the token frequencies of individual verbs"
"4102836462","hare1995learning","1087430260",">","3842084625","neg",NA,"complexity","language change","simulation","",NA,"stability in the inflectional system results from the interaction of type frequencies (i.e., class size), exploitable regularities of classes (i.e., phonological consistency), and the token frequencies of individual verbs"
"503518704","hare1995learning","3704813535",">","3842084625","neg",NA,"complexity","language change","simulation","",NA,"stability in the inflectional system results from the interaction of type frequencies (i.e., class size), exploitable regularities of classes (i.e., phonological consistency), and the token frequencies of individual verbs"
"3291534286","hare1995learning","3704813535",">","3130560403","pos",NA,"complexity","language change","simulation","",NA,"Classes displaying similarity structure not only held on to their own members more successfully, they also pulled in new members that show the same characteristics."
"479632689","hare1995learning","267865261",">","3130560403","pos",NA,"complexity","language change","simulation","",NA,"The weak classes, with their high type frequency, were able to attract a large number of the strong verbs, particularly if those verbs did not match the characteristics of their own class."
"2808757037","knight1995human","542539479",">","4214394877","pos",NA,NA,"coevolution","review","",NA,"The extra costs arising from encephalization include the metabolic demands on the mother for sustaining brain growth in the infant (Foley & Lee 1991),"
"3621062434","knight1995human","542539479",">","573539652","pos",NA,NA,"coevolution","review","",NA,"The extra costs arising from encephalization include ... the increased energetic requirements of foraging for a higher quality diet"
"1116687313","knight1995human","4214394877",">","2649463493","",NA,NA,"coevolution","review","",NA,"In modelling the energetics of hominine encephalization, Foley & Lee (1991, 70) suggest that early Homo mothers did not rely on systematic male provisioning to meet their increasing reproductive costs. Left to themselves, mothers could find the additional energy from 'higher quality diet, from feeding for longer each day, or from maintaining lactation over a longer period'. ... At later stages, during the exponential increase in brain size associated with archaic Homo sapiens (cf. Leigh 1992; Aiello in press), the postnatal trajectory of foetal brain growth became progressively extended (secondary altriciality). Intensified energetic costs during lactation would have confronted mothers with problems in balancing energy budgets. This demanded higher quality diet and more reliable supplies, which ultimately meant extracting greater energetic investment from males."
"153861643","knight1995human","4214394877",">","573425476","",NA,NA,"coevolution","review","",NA,"In modelling the energetics of hominine encephalization, Foley & Lee (1991, 70) suggest that early Homo mothers did not rely on systematic male provisioning to meet their increasing reproductive costs. Left to themselves, mothers could find the additional energy from 'higher quality diet, from feeding for longer each day, or from maintaining lactation over a longer period'. ... At later stages, during the exponential increase in brain size associated with archaic Homo sapiens (cf. Leigh 1992; Aiello in press), the postnatal trajectory of foetal brain growth became progressively extended (secondary altriciality). Intensified energetic costs during lactation would have confronted mothers with problems in balancing energy budgets. This demanded higher quality diet and more reliable supplies, which ultimately meant extracting greater energetic investment from males."
"1490262193","knight1995human","2784126207",">","3552261660","neg",NA,NA,"coevolution","hypothesis","",NA,"Concealment of ovulation and loss of oestrus with continuous receptivity have eliminated any reliable cue by which to judge whether a female is likely to have been impregnated."
"3528972548","knight1995human","2195987765",">","1532787989","neg",NA,NA,"coevolution","hypothesis","",NA,"Concealment of ovulation and loss of oestrus with continuous receptivity have eliminated any reliable cue by which to judge whether a female is likely to have been impregnated."
"817079087","knight1995human","1532787989",">","3552261660","neg",NA,NA,"coevolution","hypothesis","",NA,"Concealment of ovulation and loss of oestrus with continuous receptivity have eliminated any reliable cue by which to judge whether a female is likely to have been impregnated."
"3443703650","knight1995human","3552261660",">","1062248917","",NA,NA,"coevolution","review","",NA,"Alexander & Noonan (1979) argued that, through concealment of ovulation and continuous receptivity alone, males would have been forced into prolonged consortships. xx_ Concealment of ovulation withdraws from males any information about when to bring mate-guarding to an end. So the male who responds to menstrual cues has to spend time with the female to increase his chances of paternity."
"3507800969","knight1995human","1062248917",">","419291268","",NA,NA,"coevolution","review","",NA,"Alexander & Noonan (1979) argued that, through concealment of ovulation and continuous receptivity alone, males would have been forced into prolonged consortships, that even in multi-male group contexts, pair-bonds would have been reinforced, and hence males would have had greater confidence in paternity, leading to greater parental investment."
"2877720597","knight1995human","419291268",">","1505585287","pos",NA,NA,"coevolution","review","",NA,"Alexander & Noonan (1979) argued that, through concealment of ovulation and continuous receptivity alone, males would have been forced into prolonged consortships, that even in multi-male group contexts, pair-bonds would have been reinforced, and hence males would have had greater confidence in paternity, leading to greater parental investment."
"605284481","knight1995human","3552261660",">","1505585287","pos",NA,NA,"coevolution","review","",NA,"Hrdy (1981) proposed that these features could function in a context of promiscuity to deprive males of information about paternity, so reducing risks of infanticide."
"34226907","knight1995human","1505585287",">","226493536","neg",NA,NA,"coevolution","review","",NA,"Hrdy (1981) proposed that these features could function in a context of promiscuity to deprive males of information about paternity, so reducing risks of infanticide."
"2942564359","knight1995human","2567956801",">","1062248917","",NA,NA,"coevolution","review","",NA,"Cycle synchrony, manifested as synchrony of menstrual onset, has been documented among humans (McClintock 1971, and see Graham 1991; Weller & Weller 1993 for refs.). Several of these studies have been criticized on methodological grounds, however, (see Wilson 1992). Knowlton, following MaynardSmith (1977), Rails (1977) and Emlen & Oring (1977), observes that 'the spread of female synchrony is likely to increase the ESS [evolutionarily stable strategy] for male parental investment because the payoffs to searching for new mates are reduced' (1979, 1029). ... Significant seasonality of births has been documented for hunter-gatherer populations (Wilmsen 1978; Hurtado & Hill 1990)"
"3773984445","knight1995human","2950977816",">","2567956801","",NA,NA,"coevolution","review","",NA,"the overlap or coincidence of female fertile periods would be enhanced by seasonal and ecological factors affecting nutritional status and fertility rates (Ellison et al. 1989; Ellison 1990). ... The mechanism for such a seasonal strategy could be nutritional status affecting energy balance and ovarian function (cf. Ellison 1994), rather than any restrictive pattern of sexual activity."
"2164451372","knight1995human","1062248917",">","335911212","",NA,NA,"coevolution","hypothesis","",NA,"A pattern of ovulatory synchrony in local populations had the further effect of punishing male attempts to philander. This should drive the ratio of sexually active males to females in groups towards one-to-one."
"4114433711","knight1995human","335911212",">","1505585287","neg",NA,NA,"coevolution","hypothesis","",NA,"A pattern of ovulatory synchrony in local populations had the further effect of punishing male attempts to philander. This should drive the ratio of sexually active males to females in groups towards one-to-one."
"3401683966","knight1995human","676720065",">","1505585287","pos",NA,NA,"coevolution","hypothesis","",NA,"Sustained male/female bonds on a one-to-one basis should increase paternity confidence and inclination of males to invest"
"895341978","knight1995human","676720065",">","333505672","pos",NA,NA,"coevolution","hypothesis","",NA,"Sustained male/female bonds on a one-to-one basis should increase paternity confidence and inclination of males to invest"
"2616587850","knight1995human","3654824786",">","3552261660","pos",NA,NA,"coevolution","hypothesis","",NA,"But it would not prevent males from deserting lactating females in favour of cycling females"
"4152892733","knight1995human","3397205297",">","3552261660","",NA,NA,"coevolution","hypothesis","",NA,"Signalling was not the primary function of menstruation (see Profet 1993 for the only functional hypothesis yet developed). But once ovulation was concealed and oestrus lost in the human lineage, menstruation would have taken on significance as a cue. It is not an accurate indicator of fertility, because it occurs at the non-fertile time of the cycle. But it is a good indicator of impending fertility."
"1540113543","knight1995human","419291268",">","3234019456","pos",NA,NA,"coevolution","hypothesis","",NA,"This implies that pronounced menstrual bleeding functioned to attract extra male attention, procuring mating effort in the form of protection, some food-sharing, grooming and coalitionary support."
"1788597102","knight1995human","3234019456",">","573539652","neg",NA,NA,"coevolution","hypothesis","",NA,"This implies that pronounced menstrual bleeding functioned to attract extra male attention, procuring mating effort in the form of protection, some food-sharing, grooming and coalitionary support."
"1944327038","knight1995human","419291268",">","573425476","",NA,NA,"coevolution","hypothesis","",NA,"This implies that pronounced menstrual bleeding functioned to attract extra male attention, procuring mating effort in the form of protection, some food-sharing, grooming and coalitionary support."
"1289320042","knight1995human","4214394877",">","2913815519","neg",NA,NA,"coevolution","review","",NA,"The increased energetic costs of the phase of brain expansion associated with early Homo could have been offset by such factors as reduction in gut size (Aiello & Wheeler in press) and increased female body size (Aiello in press; Power & Aiello in press)."
"4063851546","knight1995human","853894545",">","3785056856","pos",NA,NA,"coevolution","hypothesis","",NA,"Sham menstruation' is a strategy of 'counterdominance' (cf. Erdal & Whiten 1994) in that female coalitions resist attempts by would-be dominant males to discriminate between fertilizable and nonfertilizable females. xx_ Provided females maintained solidarity, even if males knew which individuals were actually menstruating, they would not be able to use the information."
"131563353","knight1995human","4193402250",">","3785056856","pos",NA,NA,"coevolution","hypothesis","",NA,"Confusing the information available to males by displaying the same reproductive signal at the same time, females could then retain both the attractions of menstruation as an indicator of impending fertility and the advantages of synchrony for maximizing male parental investment. On this basis we would expect females, within kin-coalitions, to manufacture synchrony of signals whenever a member was actually menstruating - a strategy we term 'sham menstruation'."
"2589196322","knight1995human","3785056856",">","3552261660","neg",NA,NA,"coevolution","hypothesis","",NA,"Confusing the information available to males by displaying the same reproductive signal at the same time, females could then retain both the attractions of menstruation as an indicator of impending fertility and the advantages of synchrony for maximizing male parental investment. On this basis we would expect females, within kin-coalitions, to manufacture synchrony of signals whenever a member was actually menstruating - a strategy we term 'sham menstruation'."
"2845370910","knight1995human","3785056856",">","681680194","pos",NA,NA,"coevolution","hypothesis","",NA,"We might then expect them to select additional cosmetics - blood-coloured pigments for use in body-painting - to augment their 'sham' display"
"2764978423","knight1995human","681680194",">","1743352451","",NA,NA,"coevolution","hypothesis","",NA,"'Sham menstruation' also models behavioural adaptations prefiguring symbolic and ritual activity. What was a signal belonging to an individual, capable of extracting energy from males on a one-to-one basis, has become collectivized among a coalition of females, and amplified, broadcasting information which males cannot afford to ignore."
"1207644585","knight1995human","1743352451",">","1912422703","",NA,NA,"coevolution","hypothesis","",NA,"Symbolic cultural evolution takes off when cosmetic displays are staged as a default - a matter of monthly, habitual performance, irrespective of whether any local female is actually menstruating."
"3053428082","knight1995human","681680194",">","3044976834","",NA,NA,"coevolution","hypothesis","",NA,"since some females who are not imminently fertile pretend to be, the signal is deceptive. Unlike primate tactical deception, which is always individualistic and egocentric (Byrne & Whiten 1988), the deception in this case is incipiently sociocentric, being maintained by a collective. As such, it represents a vital step towards sustaining an imaginary construct and sharing that construct with others - that is, establishing symbolism."
"138831661","knight1995human","853894545",">","3044976834","",NA,NA,"coevolution","hypothesis","",NA,"since some females who are not imminently fertile pretend to be, the signal is deceptive. Unlike primate tactical deception, which is always individualistic and egocentric (Byrne & Whiten 1988), the deception in this case is incipiently sociocentric, being maintained by a collective. As such, it represents a vital step towards sustaining an imaginary construct and sharing that construct with others - that is, establishing symbolism."
"2420746365","knight1995human","3044976834",">","1743352451","",NA,NA,"coevolution","hypothesis","",NA,"So long as deceptive displays are staged only because a local female is really menstruating, such signals are not displaced but tied to here-and-now context. Symbolic cultural evolution takes off when cosmetic displays are staged as a default - a matter of monthly, habitual performance, irrespective of whether any local female is actually menstruating."
"283560069","knight1995human","1743352451",">","866976185","",NA,NA,"coevolution","hypothesis","",NA,"Such energetically costly repeated ritual must be linked to the level, regularity and kind of male provisioning effort it engenders. We therefore predict that data interpretable as evidence for regular female ritual performance will correlate with the onset of a symbolically structured sexual division of labour."
"2170599328","knight1995human","3159418287","/>","1912422703","",NA,NA,"coevolution","review","",NA,"Bickerton (1990) postulates a 'neural macromutation' thanks to which the descendants of 'African Eve' spontaneously produced 'syntacticized language', capable for the first time of reference to morally authoritative intangibles. 'The gods'  and those human co-operative endeavours which depend on their authority are pictured by Bickerton as  products  of speech. Speech as a biological given is then credited with generating religion, art, myth and symbolic culture as a whole  (cf.  CavalliSforza  et  al.  1988,  6006;  Mellars 1991)."
"2841317866","knight1995human","1912422703",">","376579730","",NA,NA,"coevolution","review","",NA,"Symbolic culture facilitates co-operation beyond that explicable directly from kin selection or reciprocal altruism theory (Chase 1994); it is such uniquely human co-operation that underwrites the effectiveness of speech (cf. Carrithers 1990,202; Bennett 1976; Grice 1969)"
"4046290537","knight1995human","376579730",">","3159418287","",NA,NA,"coevolution","review","",NA,"Symbolic culture facilitates co-operation beyond that explicable directly from kin selection or reciprocal altruism theory (Chase 1994); it is such uniquely human co-operation that underwrites the effectiveness of speech (cf. Carrithers 1990,202; Bennett 1976; Grice 1969)"
"2688257713","knight1995human","379726749",">","1062248917","",NA,NA,"coevolution","hypothesis","",NA,"[Sham menstruation] would not motivate males to embark on long-distance, logistic hunts or foraging expeditions; on the contrary, it should promote mate-guarding. 'Sham menstruation' would function to mobilize male mating effort on condition there were were sufficient gatherable resources in the vicinity to permit area-intensive foraging."
"2193810661","knight1995human","4160292631",">","573539652","neg",NA,NA,"coevolution","review","",NA,"One of the key means to alleviate reproductive stress would be to reduce activity levels, especially energetic costs of travel (Prentice & Whitehead 1987)."
"503174392","knight1995human","2649463493","<=>","573539652","",NA,NA,"coevolution","review","",NA,"conceivable solutions to the problem of female resource stress include ... increased female foraging autonomy from males, as some archaeologists (e.g. Binford in Fischman 1992; Soffer 1992) posit for the Neanderthals in Europe"
"724432864","knight1995human","379726749",">","4193402250","",NA,NA,"coevolution","review","",NA,"Another [solution to the problem of female resource stress] might be to stay in biotically rich environments permitting area-intensive foraging by relatively self-sufficient females (cf. Soffer 1992 on eastern European Neanderthals)."
"2537744178","knight1995human","1038255400",">","573539652","neg",NA,NA,"coevolution","hypothesis","",NA,"conceivable solutions to the problem of female resource stress include ... investing more heavily in camp sites and refusing sex to all males except those returning 'home' with provisions."
"1343845204","knight1995human","866976185",">","573539652","neg",NA,NA,"coevolution","hypothesis","",NA,"A radical solution would be to cease 'chasing after' game animals or those hunting them and instead make the meat move. This would involve investing more heavily in camp sites and [females] refusing sex to all males except those returning 'home' with provisions."
"3990036021","knight1995human","1038255400",">>","1731784168","pos",NA,NA,"coevolution","hypothesis","",NA,"refusing sex to all males except those returning 'home' with provisions. Knight (1991) has termed this the 'sex strike' option."
"1049262263","knight1995human","3785056856",">","1731784168","pos",NA,NA,"coevolution","hypothesis","",NA,"We posit that pressures to transform 'sham menstruation' into such a 'sex strike' strategy would have built up during a glacial rather than interglacial cycle. Reproductive stress motoring 'sham menstruation' may have become most acute in the period 160-140 kya, the height of the Penultimate Glacial cycle (Jouzel et al. 1993)"
"2271156698","knight1995human","1731784168",">","4013756211","pos",NA,NA,"coevolution","hypothesis","",NA,"conceivable solutions to the problem of female resource stress include ... investing more heavily in camp sites and refusing sex to all males except those returning 'home' with provisions."
