"pk","name"
"1039442205","Down syndrome"
"958826836","variation: phonetic"
"1485536576","visibility"
"4252797091","social network: segregation"
"448567049","social influence variation"
"1170070059","bias from influential agents"
"3311416630","hierarchical processing"
"3346752815","auditory-motor coupling"
"2133638551","cognition: prediction"
"1935032986","social learning: imitation"
"2120484002","beat induction"
"1178518429","laughter"
"843552729","theory of mind: level 0"
"2490613752","emulation"
"2032488354","imitation"
"4035123759","teaching"
"2313336171","transmission error"
"3285458657","tool use"
"940624965","intersubjectivity"
"678234908","triadic signals"
"2633609834","imperitive gestures"
"1528297764","semantic relations"
"373431183","processing cost"
"713541941","cultural selection: word order"
"2946571707","gene: SOX10"
"3531317487","gene: SOX9"
"783146326","gene: SOX2"
"3340951790","gene: MTIF"
"3103527398","gene: MAGOH"
"1364337790","gene: FGF8"
"385842807","gene: EDNRB"
"185910222","gene: RET"
"2160070134","gene: TCOF1"
"1957664777","gene: BMP7"
"642826741","gene: BMP2"
"2351957768","gene: CDC42"
"2032206206","gene: CTNNB1"
"2957159192","gene: DLX5"
"301336298","gene: DLX6"
"3468700364","gene: FGFR1"
"887391502","gene: PAX6"
"3442928966","gene: SHH"
"3287138866","gene: VCAN"
"143681438","globular brain case"
"3441684338","neural crest cells"
"1770868261","variation: morphology"
"2576999303","vocal tract morphology"
"1742566378","genetic variation"
"1534875632","cultural selection: learnability"
"534647626","cultural selection: expressivity"
"3868282092","iconic mappings?"
"1321198580","sound symbolism"
"3709090691","broca's area"
"229917296","wernicke's area"
"1565682765","morphological redundancy"
"875544128","lexicon: polysemy"
"973678227","conformity"
"4068186295","egocentric bias"
"1341298867","content bias"
"4202478006","subsistance style"
"2387964722","diet"
"1162835510","use of mouth as third hand"
"3921770158","bite profile"
"201824849","labiodental production effort"
"790090870","modality "
"2259512269","signal space dimensionality"
"3846259402","lingua franca communication"
"26273099","avoidance of cognitive cost"
"1342358111","common ground fallacy"
"3364844413","attention to communication"
"1995740078","good recipient design"
"2142170935","everyday communication"
"1290906556","null subject"
"1200066372","verb indexation: subject"
"2656510549","referential context"
"2894100489","referent complexity"
"1059384516","learner bias"
"3024043961","relevance of feature dimension"
"2203045387","regularisation of variation"
"2173973138","population size: small"
"3445232044","systematicity"
"847561361","signs"
"4087803643","displacement"
"3191413721","category saliency"
"1413678605","working memory"
"2653787294","categorical structure"
"2100327343","communicative success"
"1270992509","stability"
"1923061136","shared language"
"31407103","combinatorial structure"
"2273399571","lexical similarity between languages"
"2856910405","encephalisation"
"2870250470","sequential learning"
"870800986","Complexity: deictic systems"
"1005906399","honest signalling"
"2936169330","critical period"
"3336870837","language territory"
"1554828085","language diversity: languages per area"
"2421226843","language diversity: languages per population"
"1989993081","vowel segment frequency"
"2302538404","vowel inventory size"
"1738752158","turn taking"
"2748439410","CV syllables"
"1568653435","fitness"
"1740533781","morphological complexity: inflection"
"1015851892","shared language: lexical similarity"
"1396348168","nervous behaviour"
"3824356552","heart rate"
"1957173644","fertility"
"3495191649","creolization"
"2269326524","face to face communication"
"3810575075","lie detection"
"3495528798","cognition: cross-modal integration"
"4045320403","proportion of CV syllables"
"3209295937","sonority"
"1125575675","extramarital sex frequency"
"3406085761","number of cold months"
"1154678184","genetic diversity"
"3314850165","regularisation rate"
"2844212883","lexicon:rate of change"
"2802235688","bilingualism (maintenance)"
"4176837079","geographic spread"
"1125299457","linguistic neighbours"
"2608129003","paradigmatic morphological complexity"
"3782876676","distance from equator"
"2949246489","nominal case complexity"
"3036999762","syntax"
"197493471","language extinction"
"2047543007","morphological irregularity"
"184397397","inflectional syntheticity"
"2975278662","language universals"
"3714369798","mammalian diversity"
"3439972045","mammalian endangerment"
"14653804","learning phonemic boundaries"
"1948945692","lexicon:rate of cognate loss"
"3958755160","lexicon:rate of cognate gain"
"1204190256","syntactic complexity"
"2035146904","ease of articulation"
"2648048303","lexical entropy"
"2173829393","inflectional complexity"
"480931906","syntax: dependency length"
"2989167207","cross-cultural distribution: stories"
"18175701","syntax: hierarchical processing"
"2921807489","music"
"4186929669","brain network topology: small world networks"
"2173828041","signature whistles"
"100272041","dialect formation"
"640463382","signal: indirectness"
"1951258035","signal: playfulness"
"3159418287","symbolic signals"
"120602183","complement structure"
"4274934821","mental state verbs"
"1234637650","stone tool morphological variability"
"1068849574","imperative gestures"
"4142609081","order of adjective, numeral, demonstrative and noun"
"3448599304","language deficits"
"2134468155","learning cost: phonetics"
"1930925482","cross-cultural distribution: phonetic inventory"
"1290018447","lexical selection"
"7789961","syntactic sequencing"
"3800752878","lexical complexity"
"4089669229","semantic categories"
"1885660811","labiodentals"
"1464759510","miscommunication"
"2015726635","increase in overspecification"
"2077948442","morphological complexity: polysynthesis"
"3380817214","communicative efficieny"
