"pk","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Confirmed","Notes"
"2605876973","Isbell_Young_1996","1683706509",">","4160292631","pos",NA,NA,"preadaptation",NA,"",NA,NA
"1030302768","Isbell_Young_1996","4160292631",">","2413943838","pos",NA,NA,"preadaptation",NA,"",NA,NA
"4241775566","deboer99selfOrganisation","3855161016",">","2077371872","pos",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"3545362010","deboer99selfOrganisation","3855161016",">","445369745","neg",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"3935520674","deboer99selfOrganisation","2077371872",">","1989993081","neg",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"3766208508","deboer99selfOrganisation","1535144982",">","1989993081","neg",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"3462481150","deboer99selfOrganisation","445369745",">","1989993081","neg",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"3002280929","deboer99selfOrganisation","2077371872",">","2302538404","pos",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"2429224653","deboer99selfOrganisation","445369745",">","2302538404","neg",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"374898347","deboer99selfOrganisation","1535144982",">","2302538404","neg",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"3146851738","deboer99selfOrganisation","1445658945",">","1923061136","pos",NA,"phonetics","cultural evolution","simulation","communication game","yes",NA
"58514512","dipaolo99onThe","2150046662",">","192103293","neg",NA,"signalling","cultural evolution","model","",NA,NA
"49333029","dipaolo99onThe","192103293",">","1923061136","pos",NA,"signalling","cultural evolution","model","",NA,NA
"1688067171","dipaolo99onThe","2421976704",">","1738752158","pos",NA,"signalling","cultural evolution","model","",NA,NA
"1786459390","macneilage00onThe","457960058",">","2748439410",NA,NA,NA,NA,NA,NA,NA,"In our view, the crossing of the Rubicon for true speech was not achieved by sudden genetic change. Instead, it was the result of a two-stage development. The first stage in- volved ancestral hominids borrowing simple available biomechanical properties of the sys- tem-the frame, together with static, nonresting tongue configurations-by means of classic Darwinian descent with modification, to give the three CV co-occurrence patterns. Then, an initial increase in intersyllabic serial complexity was achieved by means of the LC pattern, as a result of a self-organizational interaction of bi- omechanics, movement initiation constraints, and culturally mediated cognition (46-48)."
"2247508728","cangelosi01howNouns","3959793124",">","2981317160","pos",NA,"lexicon","preadaptation","simulation","neural network","yes","recognise different food types (visually)"
"4038865945","cangelosi01howNouns","1325890961",">","1168104041","pos",NA,"lexicon","preadaptation","simulation","neural network","yes","approach or avoid food"
"1713700236","cangelosi01howNouns","2981317160",">","3031258614","pos",NA,"lexicon","preadaptation","simulation","neural network","yes",""
"313791327","cangelosi01howNouns","1168104041",">","3634902485","pos",NA,"lexicon","preadaptation","simulation","neural network","yes",""
"3138236784","cangelosi01howNouns","3031258614",">","1109429773","pos",NA,"lexicon","preadaptation","simulation","neural network","yes",""
"261108026","cangelosi01howNouns","3634902485",">","204556361","pos",NA,"lexicon","preadaptation","simulation","neural network","yes",""
"3716399553","cangelosi01howNouns","1109429773",">","3031258614","pos",NA,"lexicon","coevolution","simulation","neural network","yes","What about link to syntax?"
"2377154732","cangelosi01howNouns","204556361",">","3634902485","pos",NA,"lexicon","coevolution","simulation","neural network","yes",""
"4144818843","akaishi03misperception","3929034535",">","3741147557","pos",NA,"signalling","coevolution","simulation","population","yes",NA
"3279274480","akaishi03misperception","3741147557",">","1568653435","pos",NA,"signalling","coevolution","simulation","population","yes",NA
"2874929278","akaishi03misperception","611107992",">","3741147557","neg",NA,"signalling","coevolution","simulation","population","yes",NA
"1742720148","vogt03ecal","3758064816",">","1015851892","pos",NA,"signalling","cultural evolution","simulation","communication game","yes",NA
"2615810473","vogt03ecal","3758064816",">","2100327343","neg",NA,"signalling","cultural evolution","simulation","communication game","yes",NA
"331994827","dunbar2004gossip","1683706509",">","3260460435","pos",NA,NA,"coevolution","review","",NA,"free riders become increasingly more intrusive as social group sizes increase or society becomes more dispersed, principally because under each of these conditions free riders benefit from having large numbers of naive individuals whom they can exploit (Enquist & Leimar, 1993)"
"2949559456","dunbar2004gossip","1546524409",">","3260460435","neg",NA,NA,"coevolution","hypothesis","",NA,"The control of free riders is largely dependent on memory of past events (occasions on which they have cheated us or reneged on implicit contracts) and an appreciation of how they might afflict others (which depends on sophisticated cognitive abilities such as theory of mind)."
"1953296135","dunbar2004gossip","1810583129",">","3260460435","neg",NA,NA,"coevolution","hypothesis","",NA,"The control of free riders is largely dependent on memory of past events (occasions on which they have cheated us or reneged on implicit contracts) and an appreciation of how they might afflict others (which depends on sophisticated cognitive abilities such as theory of mind)."
"3836684429","dunbar2004gossip","1566348642",">>","1729858907","pos",NA,NA,"coevolution","hypothesis","",NA,"The ability to see the world from another person's point of view is a fundamental prerequisite for successful social interaction. ' language itself probably requires at least second-order intentionality and, possibly, higher levels (Dunbar, 1998b)."
"2827793983","dunbar2004gossip","2158918017",">","1683706509","pos",NA,NA,"coevolution","review","",NA,"For monkeys and apes, predators are the single most important factor influencing group size: As a species' ecological habits expose it to increased risk of attack by predators, so its group size must be proportionately larger to protect its members (for reviews, see Dunbar, 1988, 1996a)"
"1445136571","dunbar2004gossip","1683706509","~","3234019456","pos",NA,NA,"coevolution","review","",NA,"the amount of grooming that primates do is directly related to the size of the groups they live in, apparently because the effectiveness with which an alliance works is a simple function of the amount of time devoted to grooming by its members."
"3323204224","dunbar2004gossip","1683706509",">","3075904593","pos",NA,NA,"coevolution","review","",NA,"As group size increases, individuals are subjected to increasing levels of ... reproductive stress (harassment by others is sufficient to de- stabilize a female' s menstrual hormone cycles, leading to anovulatory or infertile cycles; for a review, see Dunbar, 1988)."
"2992245817","dunbar2004gossip","3075904593",">","352530431","pos",NA,NA,"coevolution","review","",NA,"As group size increases, individuals are subjected to increasing levels of ... reproductive stress (harassment by others is sufficient to de- stabilize a female' s menstrual hormone cycles, leading to anovulatory or infertile cycles; for a review, see Dunbar, 1988)."
"2948253680","dunbar2004gossip","1683706509",">","379726749","neg",NA,NA,"coevolution","review","",NA,"As group size increases, individuals are subjected to increasing levels of ecological competition (local food sources are exhausted more quickly, forcing animals to search more widely for food)"
"4079518676","dunbar2004gossip","1683706509",">","4106631776","",NA,NA,"coevolution","review","",NA,"As group size increases, individuals are subjected to increasing levels of ecological competition (local food sources are exhausted more quickly, forcing animals to search more widely for food)"
"2330027992","dunbar2004gossip","352530431",">","118442298","",NA,NA,"coevolution","review","",NA,"harassment by others is sufficient to de-stabilize a female' s menstrual hormone cycles, leading to anovulatory or infertile cycles; for a review, see Dunbar, 1988"
"1244084357","dunbar2004gossip","3234019456",">","324276046","pos",NA,NA,"coevolution","review","",NA,"grooming is extremely effective at releasing endorphins"
"2703289022","dunbar2004gossip","324276046",">","3784310726","pos",NA,NA,"coevolution","review","",NA,"These alliances are bonded through social grooming (a process that is mediated pharmacologically through the release of endorphins) ... "
"1838785766","dunbar2004gossip","3234019456",">","1396348168","neg",NA,NA,"coevolution","review","",NA,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981)."
"1866494817","dunbar2004gossip","3234019456",">","3824356552","neg",NA,NA,"coevolution","review","",NA,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981)."
"3983037645","dunbar2004gossip","352530431","~=","3824356552","neg",NA,NA,"coevolution","review","",NA,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981)."
"1084751917","dunbar2004gossip","352530431","~=","1396348168","pos",NA,NA,"coevolution","review","",NA,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981)."
"2909109455","dunbar2004gossip","3234019456",">","3784310726","pos",NA,NA,"coevolution","hypothesis","",NA,"the effectiveness with which an alliance works is a simple function of the amount of time devoted to grooming by its members."
"4260915923","dunbar2004gossip","379726749",">","352530431","neg",NA,NA,"coevolution","hypothesis","",NA,"As group size increases, individuals are subjected to increasing levels of ecological competition (local food sources are exhausted more quickly, forcing animals to search more widely for food)"
"1938388444","dunbar2004gossip","3213687340",">","3784310726","pos",NA,NA,"coevolution","hypothesis","",NA,"Speech allows us both to interact with a number of individuals simultaneously (grooming is a strictly one-on-one activity) and to exchange information about the state of our social network"
"3626409804","dunbar2004gossip","542539479",">","1546524409","pos",NA,NA,"coevolution","review","",NA,"it is necessary both to evolve the cognitive machinery to underpin the management of the social relationships involved (essentially a larger neocortex)"
"452576932","dunbar2004gossip","542539479",">","1810583129","pos",NA,NA,"coevolution","review","",NA,"it is necessary both to evolve the cognitive machinery to underpin the management of the social relationships involved (essentially a larger neocortex)"
"3854705915","dunbar2004gossip","542539479",">","1566348642","pos",NA,NA,"coevolution","review","",NA,"it is necessary both to evolve the cognitive machinery to underpin the management of the social relationships involved (essentially a larger neocortex)"
"4054697867","dunbar2004gossip","4106631776",">","3234019456","",NA,NA,"coevolution","hypothesis","",NA,"the time investment required by grooming is ultimately limited by the demands of foraging"
"2345633104","dunbar2004gossip","1729858907",">>","3213687340","",NA,NA,"coevolution","hypothesis","",NA,""
"1746326668","dunbar2004gossip","118442298",">","1957173644","",NA,NA,"coevolution","review","",NA,"harassment by others is sufficient to de- stabilize a female' s menstrual hormone cycles, leading to anovulatory or infertile cycles"
"3582044980","dunbar2004gossip","3784310726",">","352530431","neg",NA,NA,"coevolution","review","",NA,"But group living comes at a cost in terms of the stresses it imposes on the individual. ... Monkeys and apes solve this problem by forming alliances that buffer them against these costs, thus facilitating the cohesion of large social groups. "
"3607380992","dunbar2004gossip","3213687340","^","542539479","pos",NA,NA,"coevolution","hypothesis","",NA,"the cognitive demands of gossip are the very reason why such large brains evolved in the human lineage."
"1050691020","dunbar2004gossip","3260460435",">","379726749","neg",NA,NA,"coevolution","hypothesis","",NA,""
"1144642206","ke04phd","2630414457",">","736844491","pos",NA,NA,"preadaptation","review",NA,NA,NA
"2581856534","ke04phd","736844491",">","2413943838","pos",NA,NA,"preadaptation","review",NA,NA,NA
"3465784534","macwhinney2005language","2413943838",">","3286382177","pos",NA,NA,"preadaptation",NA,NA,NA,NA
"825094920","macwhinney2005language","2413943838",">","2269326524","pos",NA,NA,"preadaptation",NA,NA,NA,NA
"888211955","wang05verticalAndHorizontalTransmission","3408910299",">","2273399571","pos",NA,"signalling","language change","statistical",NA,"yes",NA
"1112758081","dallasta06languageGamesNetworks","1746840506",">","1923061136","neg",NA,"signalling","cultural evolution","simulation","","null",NA
"2905385591","dallasta06languageGamesNetworks","4248256416",">","2150046662","pos",NA,"signalling","cultural evolution","simulation","","null",NA
"3541019126","dallasta06languageGamesNetworks","2150046662",">","1923061136","pos",NA,"signalling","cultural evolution","simulation","","none",NA
"1822057953","dallasta06microscopicPatterns","2150046662",">","1923061136","neg",NA,"signalling","cultural evolution","model","",NA,NA
"2666442426","nettle06costsAndBenefits","391008209",">","445369745","neg",NA,"signalling","coevolution","hypothesis",NA,"yes",NA
"950401639","nettle06costsAndBenefits","391008209",">","1005906399","neg",NA,"signalling","coevolution","hypothesis",NA,"yes",NA
"4108429839","nettle06costsAndBenefits","391008209",">","3810575075","pos",NA,"signalling","coevolution","hypothesis",NA,"yes",NA
"353273032","Skoyles_2006","2413943838",">","1957453228","pos",NA,NA,"preadaptation",NA,NA,NA,""
"3026248206","Skoyles_2006","2413943838",">","989928573","pos",NA,NA,"preadaptation",NA,NA,NA,""
"3021555433","Skoyles_2006","2413943838",">","269975053","neg",NA,NA,"preadaptation",NA,NA,NA,"i.e. foot area"
"959578068","Skoyles_2006","1957453228",">","497384921","pos",NA,NA,"",NA,NA,NA,""
"2434136661","Skoyles_2006","989928573",">","497384921","pos",NA,NA,"",NA,NA,NA,""
"1660062289","Skoyles_2006","269975053",">","497384921","pos",NA,NA,"",NA,NA,NA,""
"1556140227","Skoyles_2006","497384921",">","2695952131","pos",NA,NA,"",NA,NA,NA,""
"1937375871","Skoyles_2006","2695952131",">","3495528798","",NA,NA,"",NA,NA,NA,""
"2731415828","ember2007climate","3765143423",">","2689867344","pos",NA,"social interaction","language change","hypothesis","","","The theory is that people in warmer climates generally spend more time outdoors and communicate at a distance more often than people in colder climates"
"2799585688","ember2007climate","2689867344",">","1072527045","pos",NA,"social interaction","language change","hypothesis","","","The theory is that people in warmer climates generally spend more time outdoors and communicate at a distance more often than people in colder climates"
"1127043776","ember2007climate","1072527045",">","4045320403","pos",NA,"phonetics","language change","hypothesis","","","it is adaptive to use syllables and sounds that are more easily heard and recognised at a distance � , the CV syllable provides maximal contrast and is more audible at a distance than other syllables (for supporting evidence, see Jakobson and Halle 1968:441, as referred to by Munroe et al. 1996)"
"4214247889","ember2007climate","1072527045",">","3209295937","pos",NA,"phonetics","language change","hypothesis","","","assuming equivalence of pitch, length, and stress, sounds with higher sonority (vowels more than consonants, the [a] sound more than the [i] sound) are more easily heard (see Fletcher 1953:82-88, as referred to in Fought et al. 2004:3)"
"4062476355","ember2007climate","186543927",">","3315872726","pos",NA,"phonetics","language change","review","",""," A previous reviewer of one of our earlier articles suggested that communication in a warm, tropical forest would be quite different from communication in a warm and more open environment. In the former, the dense foliage would make distant communication quite difficult, despite the warm weather"
"528331993","ember2007climate","3315872726",">","3209295937","pos",NA,"phonetics","language change","review","",""," A previous reviewer of one of our earlier articles suggested that communication in a warm, tropical forest would be quite different from communication in a warm and more open environment. In the former, the dense foliage would make distant communication quite difficult, despite the warm weather"
"2896466513","ember2007climate","3315872726",">","4045320403","pos",NA,"phonetics","language change","review","",""," A previous reviewer of one of our earlier articles suggested that communication in a warm, tropical forest would be quite different from communication in a warm and more open environment. In the former, the dense foliage would make distant communication quite difficult, despite the warm weather"
"1506850262","ember2007climate","3999396400",">","1099789564","pos",NA,"climate","language change","review","","","mountainous terrain would increase wind chill, especially at higher altitude"
"1945426075","ember2007climate","2348045514",">","1099789564","pos",NA,"climate","language change","review","","","mountainous terrain would increase wind chill, especially at higher altitude"
"516585224","ember2007climate","1099789564",">","4258006462","pos",NA,"phonetics","","review","","language change"," wind chill might necessitate keeping the mouth more closed"
"373584437","ember2007climate","4258006462",">","3209295937","neg",NA,"phonetics","language change","hypothesis","","","wind chill might necessitate keeping the mouth more closed, and, hence, the language might have less sonority"
"3224034567","ember2007climate","578833886",">","3209295937","pos",NA,"phonetics","language change","hypothesis","","","Lomax (1968) found that premarital sexual restrictiveness predicted two aspects of song style-less vocal width and greater nasality ... In Lomax's view, the singing voice reflects tension about sexuality (Lomax 1968:194)"
"3997575089","ember2007climate","1534566204","~","1125575675","pos",NA,"culture","language change","statistical","","","premarital and extramarital sex frequency are correlated with each other (p = .35 in warmer climate, p < .04, one tail, n = 24; p = .40, p < .01, one tail, n = 36 in all climates),"
"1378882220","ember2007climate","578833886","~=","1125575675","pos",NA,"culture","language change","logical","","","Given that premarital and extramarital sex frequency are correlated with each other ... we decided to create a factor score for the two variables. This factor score is significantly related to sonority in warmer climates (p = .42, p < .02, one tail, n = 24) and is significantly related to sonority (p = .32, p < .03, one tail, n = 36) regardless of climate"
"4293882824","ember2007climate","578833886","~=","1534566204","pos",NA,"culture","language change","logical","","","Given that premarital and extramarital sex frequency are correlated with each other ... we decided to create a factor score for the two variables. This factor score is significantly related to sonority in warmer climates (p = .42, p < .02, one tail, n = 24) and is significantly related to sonority (p = .32, p < .03, one tail, n = 36) regardless of climate"
"948300383","ember2007climate","578833886",">","4258006462","neg",NA,"culture","language change","statistical","","","sexual inhibition (at least with regard to premarital and extramarital sex) seems to discourage speaking with a wide open mouth, and sexual expressiveness may encourage it. � we suggest that greater sexual expressiveness also affects sonority."
"2936908784","ember2007climate","3765143423","~=","3406085761","neg",NA,"climate","language change","logical","","",""
"2756249842","ember2007climate","578833886","~","4045320403","pos",NA,"phonetics","language change","statistical","","","The factor score from Huber's data on premarital and extramarital sex is significantly and positively related (one tail) to the percentage of consonant-vowel syllables"
"1382438225","ember2007climate","2112386438","~","578833886","neg",NA,"culture","language change","statistical","","","literacy is negatively related significantly [to The factor score from Huber's data on premarital and extramarital sex]"
"1348917704","ember2007climate","3651242078",">","4045320403","pos",NA,"culture","language change","statistical","","","we add baby holding and literacy, previously found to be significant predictors ...baby holding and literacy both become significant [predictors of percentage of CV syllables] along with the factor score on sexuality derived from Huber. Baby holding and more sexuality are positive predictors; literacy is a negative predictor."
"4291795830","ember2007climate","2112386438",">","4045320403","neg",NA,"culture","language change","statistical","","","we add baby holding and literacy, previously found to be significant predictors baby holding and literacy both become significant [predictors of percentage of CV syllables] along with the factor score on sexuality derived from Huber. Baby holding and more sexuality are positive predictors; literacy is a negative predictor."
"2638534369","hunley07geneticCoevolution","3082542981",">","3719167349","pos",NA,"lexicon;genetics","language change","statistical","","null",NA
"1222483254","hunley07geneticCoevolution","1453643107",">","3719167349","pos",NA,"lexicon;genetics","language change","statistical","","",NA
"4002985835","hunley07geneticCoevolution","4093093174",">","3719167349","pos",NA,"lexicon;genetics","language change","statistical","","",NA
"2046682090","hunley07geneticCoevolution","3082542981",">","1154678184","pos",NA,"genetics","language change","statistical","","none",NA
"1410623285","hunley07geneticCoevolution","1453643107",">","1154678184","pos",NA,"genetics","language change","statistical","","none",NA
"2005841951","hunley07geneticCoevolution","3719167349","~","1154678184","pos",NA,"lexicon;genetics","language change","statistical","","none",NA
"2407437793","Pageletal2007","2139249206",">","2844212883","neg",NA,NA,"language change","statistical","","yes",NA
"639776741","selten07languageEmergencePNAS","2913953561",">","1923061136","pos",NA,"signalling","coevolution","simulation","communication game","yes",NA
"605269479","selten07languageEmergencePNAS","1535144982",">","1923061136","neg",NA,"signalling","coevolution","simulation","communication game","yes",NA
"3404301469","selten07languageEmergencePNAS","3790392373",">","1923061136","pos",NA,"signalling","coevolution","simulation","communication game","yes",NA
"3324551036","selten07languageEmergencePNAS","1250041027",">","3316682815","neg",NA,"signalling","coevolution","simulation","communication game","yes",NA
"3088426045","vogt07ECAL","1746840506",">","3316682815","pos",NA,"syntax","cultural evolution","model","mathematical?","",NA
"1639892571","vogt07ECAL","3316682815",">","1923061136","pos",NA,"signalling","cultural evolution","model","mathematical?","yes",NA
"2677654797","minett04endangeredLanguage","2596364953",">","2802235688","pos",NA,NA,"language change","simulation","ising","yes",NA
"2441401325","minett04endangeredLanguage","1579653318",">","2802235688","pos",NA,NA,"language change","simulation","ising","yes",NA
"3453268714","lupyan2010language","1746840506",">","264262316","pos","3554226544","morphology","language change","statistical","cross-linguistic",NA,"The exoteric linguistic niche contains languages with large numbers of speakers, thus requiring these languages to serve as interfaces for communication between strangers. In reality the esoteric and exoteric niches form a continuum, and are represented as such in our analyses (see also Text S4). Speakers of languages in the exoteric niche compared to speakers of esoteric languages are more likely to (1) be nonnative speakers or have learned the language from nonnative speakers, "
"926792975","lupyan2010language","1746840506",">","3011025056","pos","3554226544","morphology","language change","statistical","cross-linguistic",NA,"The exoteric linguistic niche contains languages with large numbers of speakers, thus requiring these languages to serve as interfaces for communication between strangers. In reality the esoteric and exoteric niches form a continuum, and are represented as such in our analyses (see also Text S4). Speakers of languages in the exoteric niche compared to speakers of esoteric languages are more likely to ... (2) use the language to speak to outsiders—individuals from different ethnic and/or linguistic backgrounds."
"594215368","lupyan2010language","264262316",">","4091963917","pos","3554226544","morphology","language change","review","",NA,"With increased geographic spread and an increasing speaker population, a language is more likely to be subjected to learnability biases and limitations of adult learners"
"1565378379","lupyan2010language","4091963917",">","634707713","neg","3554226544","morphology","language change","statistical","cross-linguistic",NA,"We tentatively propose that the level of morphological specification is a product of languages adapting to the learning constraints and the unique communicative needs of the speaker population. Complex morphological paradigms appear to present particular learning challenges for adult learners even when their native languages make use of similar paradigms [39]"
"3387290319","lupyan2010language","3011025056",">","4091963917","pos","3554226544","morphology","language change","statistical","cross-linguistic",NA,"We tentatively propose that the level of morphological specification is a product of languages adapting to the learning constraints and the unique communicative needs of the speaker population. Complex morphological paradigms appear to present particular learning challenges for adult learners even when their native languages make use of similar paradigms [39]"
"318194073","lupyan2010language","3011025056","~=","4176837079","pos",NA,"morphology","language change","statistical","cross-linguistic",NA,"Area (km2) for each language was calculated from data provided by Global Mapping International"
"899907878","lupyan2010language","3011025056","~=","1125299457","pos",NA,"morphology","language change","statistical","cross-linguistic",NA,"Inter-linguistic contact was calculated based on languages boundaries: for each language we counted the number of languages contained in, overlapping with, or contacting the area polygons of other languages"
"211520301","roberts2010experimental","1746840506",">","3260460435","pos",NA,"diversity","language change","review","",NA,"among mobile social organisms like human beings, individuals can move relatively easily from community to community, exploiting each in turn (Enquist & Leimar, 1993)"
"2202448636","roberts2010experimental","142655320",">","3260460435","pos",NA,"diversity","language change","review","",NA,"among mobile social organisms like human beings, individuals can move relatively easily from community to community, exploiting each in turn (Enquist & Leimar, 1993)"
"2000134399","roberts2010experimental","3286042659",">","3260460435","neg",NA,"diversity","language change","hypothesis","",NA,"A solution to the problem of distinguishing between members and non-members of one�s community is to employ some kind of marker."
"2071975125","roberts2010experimental","1746840506",">","3286042659","neg",NA,"diversity","language change","","",NA,""
"3156491117","roberts2010experimental","331530021",">","376579730","neg",NA,"diversity","language change","review","",NA,"the existence of variability in language, coupled with a bias towards cooperating with those who speak in a similar way, leads to a population that cannot be invaded by �cheats�, and a high level of (geographically structured) linguistic diversity"
"1729785113","roberts2010experimental","376579730",">","3260460435","pos",NA,"diversity","language change","review","",NA,"the existence of variability in language, coupled with a bias towards cooperating with those who speak in a similar way, leads to a population that cannot be invaded by �cheats�, and a high level of (geographically structured) linguistic diversity"
"3190721485","roberts2010experimental","1422903039",">","331530021","neg",NA,"diversity","language change","experiment","",NA,"speakers will converge as a function of the amount they interact (Fay, Garrod, & Carletta, 2000; Pickering & Garrod, 2004)"
"3033012502","roberts2010experimental","379726749",">","3286042659","neg",NA,"diversity","language change","experiment","",NA,"the ideal player would avoid ever giving resources away to their opponents, while always appearing to be the team-mate of whoever they were partnered with for a given round. This meant finding some way of identifying one�s team-mate, and the only channel by which this could be achieved was the negotiation stage of the round."
"3762247510","roberts2010experimental","3286042659",">","331530021","pos",NA,"diversity","language change","experiment","",NA,"The results suggested that the pressure to identify oneself to one�s team-mate caused the alien language to diverge into team 'dialects'"
"3068460575","roberts2010experimental","3260460435",">","379726749","neg",NA,"diversity","language change","hypothesis","",NA,""
"955172757","Calude2011","2139249206",">","2844212883","neg",NA,NA,"language change","statistical","","yes",NA
"3956050820","nettle2012social","300708266","~","3344516874","neg",NA,"morphology","language change","review","","yes",""
"660986108","nettle2012social","3252179577","~","1746840506","pos",NA,"phonology","cultural evolution","review","","yes",""
"2642247444","nettle2012social","3252179577","~","3344516874","neg",NA,"phonology","language change","review","","yes",""
"4131740121","nettle2012social","1746840506","~","3042098220","neg",NA,"phonology","language change","review","","",""
"4089661284","nettle2012social","3344516874","~=","3042098220","pos",NA,"phonology","","review","","yes",""
"4293707762","nettle2012social","300708266","~=","3252179577","pos",NA,"phonology","none","review","","yes",""
"1592460865","nettle2012social","1746840506","~","3477552002","pos",NA,"morphology","cultural evolution","hypothesis","","",""
"1339347722","nettle2012social","1746840506","~","2608129003","neg",NA,"morphology","cultural evolution","review","","yes",""
"4118465284","nettle2012social","615243070","~=","3477552002","pos",NA,"morphology","language change","review","","yes",""
"185804291","nettle2012social","3477552002","~","2608129003","neg",NA,"morphology","language change","review","","yes",""
"799186241","nettle2012social","3042098220","~","3252179577","neg",NA,"phonology","language change","review","","yes",""
"2410023053","nettle2012social","1746840506","~","3782876676","neg",NA,"demography","none","review","","yes",""
"242616410","nettle2012social","1746840506","~","283652280","neg",NA,"","","review","","",""
