Var1,Relation,Var2,Cor,Topic,Stage,Type,Confirmed,Notes,bibref
resource density,>,stress,neg,,coevolution,hypothesis,,"As group size increases, individuals are subjected to increasing levels of ecological competition (local food sources are exhausted more quickly, forcing animals to search more widely for food)",dunbar2004gossip
gossip,>,alliances,pos,,coevolution,hypothesis,,Speech allows us both to interact with a number of individuals simultaneously (grooming is a strictly one-on-one activity) and to exchange information about the state of our social network,dunbar2004gossip
brain size: neocortex,>,episodic memory,pos,,coevolution,review,,it is necessary both to evolve the cognitive machinery to underpin the management of the social relationships involved (essentially a larger neocortex),dunbar2004gossip
brain size: neocortex,>,theory of mind: level 1,pos,,coevolution,review,,it is necessary both to evolve the cognitive machinery to underpin the management of the social relationships involved (essentially a larger neocortex),dunbar2004gossip
brain size: neocortex,>,theory of mind: level 2,pos,,coevolution,review,,it is necessary both to evolve the cognitive machinery to underpin the management of the social relationships involved (essentially a larger neocortex),dunbar2004gossip
foraging strategy,>,grooming,,,coevolution,hypothesis,,the time investment required by grooming is ultimately limited by the demands of foraging,dunbar2004gossip
social interaction,>>,gossip,,,coevolution,hypothesis,,,dunbar2004gossip
menstrual cycle,>,fertility,,,coevolution,review,,"harassment by others is sufficient to de- stabilize a female•À_ s menstrual hormone cycles, leading to anovulatory or infertile cycles",dunbar2004gossip
alliances,>,stress,neg,,coevolution,review,,"But group living comes at a cost in terms of the stresses it imposes on the individual. ... Monkeys and apes solve this problem by forming alliances that buffer them against these costs, thus facilitating the cohesion of large social groups. ",dunbar2004gossip
gossip,^,brain size: neocortex,pos,,coevolution,hypothesis,,the cognitive demands of gossip are the very reason why such large brains evolved in the human lineage.,dunbar2004gossip
freeriders,>,resource density,neg,,coevolution,hypothesis,,,dunbar2004gossip
